# Language file for DOL
# Language used : SPANISH / Español
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.EN:				Inglés
GamePlayer.Attack.CantCritical:				No puede obtener un disparo crítico en su objetivo, cambia a un disparo estándar.
GamePlayer.Attack.CantSeeTarget:			¡No puedes ver tu objetivo!	
GamePlayer.Attack.CantUseQuiver:			¡No puedes usar la munición de aljaba seleccionada con tu arma!
GamePlayer.Attack.CouldRepair:				Su {0} podría usar reparaciones.
GamePlayer.Attack.Critical:					Tienes un golpe crítico {0} por un daño adicional de {1}!
GamePlayer.Attack.Evade:					{0} los ataques de usted y evadir el golpe!
GamePlayer.Attack.Evaded:					{0} evade su ataque!
GamePlayer.Attack.Fumble:					Usted fumble el ataque y tomar tiempo para recuperarse!
GamePlayer.Attack.Fumbled:					{0} fumbled!	
GamePlayer.Attack.HitsYou:					{0} te golpea por {1} {2} daño!
GamePlayer.Attack.HitsYouw:					¡{0} golpea tu {1} daño! Con él es {2} {3}!	
GamePlayer.Attack.HitsYouCritical:			{0} crítica te golpea por un {1} daño adicional!
GamePlayer.Attack.HitsYour:					{0} golpea su {1} por {2} {3} daño!
GamePlayer.Attack.Intercepted:				{0} pasos delante de {1} y toma el golpe!
GamePlayer.Attack.Interrupted:				{0} te está atacando y tu {1} está interrumpido!
GamePlayer.Attack.Location.Arm:				brazo
GamePlayer.Attack.Location.Foot:			pie
GamePlayer.Attack.Location.Hand:			mano	
GamePlayer.Attack.Location.Head:			cabeza	
GamePlayer.Attack.Location.Leg:				pierna
GamePlayer.Attack.Location.Torso:			torso	
GamePlayer.Attack.Miss:						Te perdiste
GamePlayer.Attack.Missed:					{0} te ataca y te echas de menos!

GamePlayer.Attack.MustSelectQuiver:			¡Debe seleccionar una ranura estremecedora para dibujar!
GamePlayer.Attack.NeedRepair:				Tu {0} necesita reparaciones.
GamePlayer.Attack.NeedRepairDire:			Tu {0} está en extrema necesidad de reparaciones.	
GamePlayer.Attack.NeedTarget:				¡Tienes que seleccionar un objetivo para atacar!
GamePlayer.Attack.NotInView:				{0} no está a la vista!
GamePlayer.Attack.Parried:					{0} desbloquea tu ataque!
GamePlayer.Attack.Parry:					{0} los ataques de usted y usted paran el golpe!
GamePlayer.Attack.ReadyToFire:				¡Estás listo para disparar!
GamePlayer.Attack.StrafMiss:				Estabas haciendo estragos en combate y echamos de menos!	
GamePlayer.Attack.TooFarAway:				{0} está demasiado lejos para atacar!	
GamePlayer.Attack.TooTired:					Usted está demasiado cansado para mantener su tiro por más tiempo!
GamePlayer.Attack.Type.Shot:				Disparo
GamePlayer.Attack.Type.Throw:				lanzar	
GamePlayer.Attack.WithYour:					con tu	
GamePlayer.Attack.YouAttack:				Tu atacas
GamePlayer.Attack.YouShot:					Disparaste	





GamePlayer.RealmTimerStatusOFF:             El temporizador de tu reino RvR acaba de expirar, ahora puedes cambiar de reino nuevamente.
GamePlayer.RealmTimerStatus:                Estás en un área RvR, por lo que el cronómetro del reino se activó hasta las {0} hora local de la UE.
GamePlayer.RemoveSpellLine.YouLose:			Pierdes la lista de conjuros {0}!
GamePlayer.AddAbility.YouLearn:				Aprendes la habilidad {0}!
GamePlayer.RemoveAbility.YouLose:			Pierdes la habilidad {0}!
GamePlayer.RefreshSpec.YouLearn:			Aprendes el estilo de combate {0}!
GamePlayer.RefreshSpec.AfterStyle:			Este estilo de combate solo puede ser utilizado despues de ejecutar el estilo {0}.
GamePlayer.RefreshSpec.AfterMissed:			Este estilo de combate es mejor si has fallado tu último ataque. 
GamePlayer.RefreshSpec.AfterParried:		Este estilo de combate es mejor si has parado tu último ataque.
GamePlayer.RefreshSpec.AfterBlocked:		Este estilo de combate es mejor si has bloqueado tu último ataque.
GamePlayer.RefreshSpec.AfterEvaded:			Este estilo de combate es mejor si has esquivado tu último ataque.
GamePlayer.RefreshSpec.AfterFumbles:		Este estilo está mejor usado cuand tropiezas.
GamePlayer.RefreshSpec.TargetMisses:		Este estilo de combate esta mejor usado cuando tu objetivo falla.
GamePlayer.RefreshSpec.TargetHits:			Este estilo de combate esta mejor usado cuando tu objetivo te golpea.
GamePlayer.RefreshSpec.TargetParried:		Este estilo de combate esta mejor usado cuando tu objetivo para tu ataque.
GamePlayer.RefreshSpec.TargetBlocked:		Este estilo de combate esta mejor usado cuando tu objetivo bloquea tu ataque.
GamePlayer.RefreshSpec.TargetEvaded:		Este estilo de combate esta mejor usado cuando tu objetivo esquiva tu ataque.
GamePlayer.RefreshSpec.TargetFumbles:		Este estilo de combate esta mejor usado cuando tu objetivo tropieza.
GamePlayer.RefreshSpec.TargetStyle:			Este estilo de combate esta mejor usado cuando tu objetivo realiza un estilo de combate.
GamePlayer.UpdateSpellLine.GainPower:		Ganas poder en la lista de conjuros {0}!
GamePlayer.OnSkillTrained.YouSpend:			 Gastas {0} puntos y te especializas en {1} 
GamePlayer.OnSkillTrained.YouHave:			Te quedan {0} puntos de especialización en este nivel.
GamePlayer.OnSkillTrained.TrainsInVarious:	{0} Entrenas en diferentes especializaciones.
GamePlayer.GainRealmPoints.NoRP.CapturedKeeps:	    No obtienes ningún punto de reino por la fortaleza, porque alcanzaste el límite de {0} para las fortalezas capturadas!
GamePlayer.GainRealmPoints.NoRP.CapturedTowers:	    No obtienes ningún punto de reino por la Torre, porque llegas al límite de {0} por Torres capturadas!
GamePlayer.GainRealmPoints.YouGet:			Consiges {0} puntos de reino!
GamePlayer.GainRealmPoints.GainedLevel:		 Has avanzado un nivel de reino!
GamePlayer.GainRealmPoints.GainedRank:		Has alcanzado un nuevo rango de reino y un nuevo título!
GamePlayer.GainRealmPoints.NewRealmTitle:	Tu nuevo título de reino es {0}!
GamePlayer.GainRealmPoints.GainBonus:		Consigues un +{0} bonificaciones a todas las especializaciones!
GamePlayer.GainRealmPoints.ReachedRank:		You reached realm rank {0}L0!
GamePlayer.GainRealmPoints.ReachedRankNews:		{0} Ha alcanzado el nivel de reino {1} en {2}!
GamePlayer.GainRealmPoints.Earned:			{0} Ha conseguido 1,000,000 puntos de reino en {1}
GamePlayer.GainBountyPoints.YouGet:			Consigues {0} puntos de recompensa!
GamePlayer.Participating.Rps:               Por participar en peleas RvR obtienes puntos de reino.
GamePlayer.Participating.Bps:               Por participar en peleas de RvR obtienes puntos de recompensa.
GamePlayer.GainExperience.YouGet:			Consigues {0} puntos de experiencia.
GamePlayer.GainExperience.ItemBonus:        You get {0} from item Bonus experience points.
GamePlayer.GainExperience.CannotRaise:		No puedes alcanzar nivel 6 hasta que te unas a una facción avanzada!
GamePlayer.GainExperience.TalkToTrainer:	Habla con tu entrenador para más información.
GamePlayer.OnLevelUp.YouRaise:				 Subes a nivel {0}
GamePlayer.OnLevelUp.YouAchieved:			Has alcanzado nivel {0}
GamePlayer.OnLevelUp.FreeLevelEligible:		Puedes conseguir un nivel gratuito!Ve a tu entrenador para recibirlo(o escribe /freelevel decline para rechazarlo).
GamePlayer.OnLevelUp.Reached:				{0} alcanzó nivel {1} en {2}!
GamePlayer.OnLevelUp.StatRaise:				 Tus características de personaje aumentan!
GamePlayer.OnLevelUp.AttainedRank:			Has logrado alcanzar el rango de {0}!
GamePlayer.OnLevelUp.YouGetSpec:			Consigues {0} puntos mas para gastar en este nivel!
GamePlayer.OnLevelUp.HitsRaise:				Tus puntos de vida aumentan en {0} puntos.
GamePlayer.OnLevelUp.PowerRaise:			Tu poder aumenta en {0} puntos.
GamePlayer.OnLevelUp.SecondStage:			Alcanzas la segunda parte del nivel {0}!
GamePlayer.IsCloakHoodUp.NowWear:                     Te enfundas en tu capa.
GamePlayer.IsCloakHoodUp.NoLongerWear:    Te levantas la capucha.
GamePlayer.SwitchWeapon.SpellCancelled:  Tu hechizo es cancelado!
GamePlayer.StartAttack.YouMustWait:               Has de esperar {0} segundos mas para intentar atacar!
GamePlayer.StartAttack.YouCantCombat:      No puedes entrar en combate mientras estás muerto!
GamePlayer.StartAttack.CantAttackStunned:       No puedes entrar en combate mientras estás atontado.  
GamePlayer.StartAttack.CantAttackmesmerized: No puedes atacar mientras estás dormido!
GamePlayer.StartAttack.YouMustWaitAgain:        Has de esperar {0} segundos más para atacar de nuevo.
GamePlayer.StartAttack.CannotWithoutWeapon:     No puedes entrar en combate sin arma!
GamePlayer.StartAttack.CannotMelee:               No puedes entrar en combate con un instrumento!
GamePlayer.StartAttack.SelectQuiver:        Has de seleccionar un carcaj!
GamePlayer.StartAttack.CantUseQuiver:      No puedes usar ese carcaj con el arma que tienes equipada!
GamePlayer.StartAttack.TiredShot:                     Estás demasiado cansado para hacer un disparo crítico!
GamePlayer.StartAttack.TiredUse:                        Estás demasiado cansado para usar tu {0}!
GamePlayer.StartAttack.CombatNoTarget:    Entras en combate, pero no tienes objetivo!
GamePlayer.StartAttack.CombatTarget:         Entras en combate y seleccionas [{0}]
GamePlayer.StartAttack.SpellCancelled:    Tu hechizo es cancelado! 
GamePlayer.StartAttack.TargetInRange:      El objetivo esta en tu rango de ataque 
GamePlayer.StartAttack.TargetOutOfRange:      Objetivo fuera de rango de ataque
GamePlayer.StartAttack.YouPrepare:                  Preparas tu {0} ({1}.{2}s para disparar {3}) 
GamePlayer.PickupObject.YouPickUp:				    Usted recoge {0}.
GamePlayer.PickupObject.RelicStrenghtBonus:		Tener una reliquia enemiga te da un {0}% de oro adicional.
GamePlayer.Attack.InterceptHit:			        	{0} {1} {2} y golpea por {3} {4} daño!
GamePlayer.Attack.InterceptedHit:			{0} {1} {2} pero golpeó {3} por {4} {5} daño!





GamePlayer.Bind.Bound:						Ahora estás enlazado a esta ubicación.
GamePlayer.Bind.CantBindDead:				¡No puedes atar mientras estás muerto!	
GamePlayer.Bind.CantHere:					¡No puedes atar aquí!	
GamePlayer.Bind.LastBindPoint:				Último punto de vinculación: {0}.	
GamePlayer.Bind.MustWait:					¡Debes esperar {0} segundos para vincular de nuevo!	
GamePlayer.CastSpell.AlreadyCastFollow:			¡Ya estás lanzando un hechizo! Usted prepara este hechizo como un seguimiento!	
GamePlayer.CastSpell.AlreadyCastNoQueue:		Ya está lanzando un hechizo, para habilitar el uso de colas de hechizos '/ noqueue'!		
GamePlayer.CastSpell.AlreadyPlaySong:			¡Ya estás tocando una canción!	
GamePlayer.CastSpell.CantCastMezzed:			Usted no puede lanzar mientras hipnotizado!		
GamePlayer.CastSpell.CantCastStunned:			¡No puedes lanzar mientras estás aturdido!		
GamePlayer.CommandNpcAttack.TooFarAwayForPet:		 Su objetivo es demasiado lejos para atacar por su mascota!			
GamePlayer.CommandNpcGoTarget.MustSelectDestination: Debe seleccionar un destino para su criatura controlada.
GamePlayer.CommandNpcAttack.KillTarget:			Ordena {0} para matar a su objetivo!
GamePlayer.CommandNpcAttack.IsConfused:			Su {0} está confundido!
GamePlayer.CommandNpcAttack.FollowYou:			Usted manda {0} para seguirle!
GamePlayer.CommandNpcAttack.Stay:				YOu command {0} para permanecer en esta posición!
GamePlayer.CommandNpcAttack.ComeHere:			Usted manda {0} venir a usted.
GamePlayer.CommandNpcAttack.GoToTarget:			Comanda {0} para ir a su destino.
GamePlayer.CommandNpcAttack.Passive:			¡Ordena {0} que se desenganche del combate!
GamePlayer.CommandNpcAttack.Aggressive:			¡Ordena {0} que ataque a todos los enemigos!
GamePlayer.CommandNpcAttack.Denfensive:			Usted manda {0} para defenderlo!
GamePlayer.CraftItem.DontHaveAbilityMake:		Usted no tiene la capacidad de hacer este artículo.		
GamePlayer.CurrentTitle.TitleCleared:			Su título ha sido borrado.		
GamePlayer.Die.CorpseLies:						{0} acaba de morir. {1} cadáver se encuentra en el suelo.	
GamePlayer.Die.DeadRVR:							¡Usted murió luchando por su reino y no perdió experiencia!
GamePlayer.Die.DeathN1:							Esta es tu primera muerte para este nivel. Sus pérdidas de experiencia y constitución se han reducido considerablemente.
GamePlayer.Die.DeathN2:							Esta es tu segunda muerte para este nivel. Su experiencia y pérdida de la constitución se reducen.
GamePlayer.Die.DuelDefeated:					{0} fue derrotado en un duelo por {1}!
GamePlayer.Die.DuelWinner:				        {0} gana el duelo!
GamePlayer.Die.Killed:							{0} fue asesinado!
GamePlayer.Die.KilledBy:						{0} fue asesinado por {1}.	
GamePlayer.Die.KilledByLocation:				{0} fue asesinado por {1} en {2}.		
GamePlayer.Die.KilledLocation:					{0} fue asesinado en {1}!	
GamePlayer.Die.LoseExperience:					¡Pierdes algo de experiencia!
GamePlayer.Die.ReleaseToReturn:					Te has muerto. Escriba / suelte para regresar a su último punto de enlace.
GamePlayer.Die.YouKilled:						Acabas de matar {0} !.	
GamePlayer.DrowningTimerCallback.CannotBreath:	¡No puedes respirar bajo el agua y sufrir daños!		
GamePlayer.DrowningTimerCallback.Take5%Damage:	Tomas el 5% de tus golpes máximos en daño.			
GamePlayer.DuelStop.DuelEnds:					Su duelo termina!
GamePlayer.GainBountyPoints.YouGet:				Obtienes {0} puntos de recompensa!	
GamePlayer.GainCraftingSkill.GainSkill:			Usted gana habilidad en {0}! ({1})
GamePlayer.GainCraftingSkill.ReachedSkill:		{0} alcanzó la habilidad 1000 en {1}
GamePlayer.GainExperience.CampBonus:			({0} bono de campamento)
GamePlayer.GainExperience.CannotRaise:			¡No puedes subir al sexto nivel hasta que te unes a un gremio avanzado!		
GamePlayer.GainExperience.GroupBonus:			({0} bono de grupo)
GamePlayer.GainExperience.OutpostBonus:			({0} bono de avanzada)
GamePlayer.GainRealmPoints.YouGet:				    Obtienes {0} puntos de dominio!		
GamePlayer.GetExamineMessages.EnemyRealmMember:		Examina {0}. {1} es un miembro de un reino enemigo!
GamePlayer.GetExamineMessages.NeutralMember:		Examina {0}. {1} es un miembro neutral sin lealtad de gremio.
GamePlayer.GetExamineMessages.OtherGuildMember:		Examina {0}. {1} es miembro del clan {2}.
GamePlayer.GetExamineMessages.RealmMember:			Examina {0}. {1} es un miembro de la clase {2} de tu reino.
GamePlayer.GetExamineMessages.YouExamine:			Usted examina {0}.
GamePlayer.GetExamineMessages.YourGuildMember:		Examina {0}. {1} es un miembro de la clase {2} de tu gremio.
GamePlayer.IsCloakHoodUp.NoLongerWear:				Ya no llevará su capucha.		
GamePlayer.IsCloakHoodUp.NowWear:					Usted ahora llevará su capucha para arriba.		
GamePlayer.IsCloakInvisible.Invisible:				Ahora no verá su capa.		
GamePlayer.IsCloakInvisible.Visible:				Ahora verá su capa.		
GamePlayer.IsHelmInvisible.Invisible:				Ahora no verá su timón.	
GamePlayer.IsHelmInvisible.Visible:					Ahora verá su timón.		
GamePlayer.IsOnHorse.DismountSteed:			Desmontas tu corcel.
GamePlayer.IsOnHorse.MountSteed:			Montas tu corcel.
GamePlayer.ItemBonusName.Bonus1:			Fuerza
GamePlayer.ItemBonusName.Bonus2:			Destreza
GamePlayer.ItemBonusName.Bonus3:			Constitución
GamePlayer.ItemBonusName.Bonus4:			Rapidez
GamePlayer.ItemBonusName.Bonus5:			Inteligencia
GamePlayer.ItemBonusName.Bonus6:			Piedad
GamePlayer.ItemBonusName.Bonus7:			Empatía
GamePlayer.ItemBonusName.Bonus8:			Carisma
GamePlayer.ItemBonusName.Bonus9:			Poder
GamePlayer.ItemBonusName.Bonus10:			Golpes
GamePlayer.ItemBonusName.Bonus11:			Resistencia al cuerpo
GamePlayer.ItemBonusName.Bonus12:			Resistencia al Frío
GamePlayer.ItemBonusName.Bonus13:			Resistencia al Aplastar
GamePlayer.ItemBonusName.Bonus14:			Resistencia al Energía
GamePlayer.ItemBonusName.Bonus15:			Resistencia al Calor
GamePlayer.ItemBonusName.Bonus16:			Resistencia al Importar
GamePlayer.ItemBonusName.Bonus17:			Resistencia al Barra oblicua
GamePlayer.ItemBonusName.Bonus18:			Resistencia al Espíritu
GamePlayer.ItemBonusName.Bonus19:			Resistencia al Empuje
GamePlayer.LavaBurnTimerCallback.YourInLava:	Usted está en Lava y recibe daños!			
GamePlayer.LavaBurnTimerCallback.Take34%Damage:	Usted toma el 34% de sus golpes máximos en daño.
GamePlayer.OnItemEquipped.Increased:		Su {0} ha aumentado.
GamePlayer.OnItemEquipped.LevelRequired:    Este artículo requiere el nivel {0} para equiparlo!
GamePlayer.OnItemEquipped.Magic:			La magia de {0} fluye a través de ti.
GamePlayer.OnItemEquipped.WieldBothHands:	Usted maneja {0} en ambas manos.
GamePlayer.OnItemEquipped.WieldLeftHand:	Usted maneja {0} en su mano izquierda.
GamePlayer.OnItemEquipped.WieldRightHand:	Usted maneja {0} en su mano derecha.
GamePlayer.OnItemUnequipped.BothHandsFree:	Pones {0} lejos de ti, ahora tienes ambas manos libres.
GamePlayer.OnItemUnequipped.Decreased:		Su {0} ha disminuido.
GamePlayer.OnItemUnequipped.LeftHandFree:	Te acostas {0} de tu mano izquierda.
GamePlayer.OnItemUnequipped.RightHandFree:	Tienes que cubrir {0} de tu mano derecha.
GamePlayer.OnLevelUp.AttainedRank:			¡Has alcanzado el rango de {0}!	
GamePlayer.OnLevelUp.FreeLevelEligible:		Usted es elegible para un nivel libre! Haga clic en su entrenador para recibirlo (o escriba / freelevel declinar para descartar su nivel libre).	
GamePlayer.OnLevelUp.HitsRaise:				Tus aciertos aumentan en {0} puntos.
GamePlayer.OnLevelUp.PowerRaise:			Su potencia aumenta en {0} puntos.		
GamePlayer.OnLevelUp.Reached:				{0} alcanzó el nivel {1} en {2}!
GamePlayer.OnLevelUp.SecondStage:			Sube al nivel {0} Fase 2!	
GamePlayer.OnLevelUp.StatRaise:				¡Sus estadísticas aumentan!	
GamePlayer.OnLevelUp.YouAchieved:			Has alcanzado el nivel {0}!		
GamePlayer.OnLevelUp.YouGetSpec:			Usted obtiene {0} más Puntos de Especialización para gastar en este nivel!		
GamePlayer.OnLevelUp.YouRaise:				Sube al nivel {0}!	
GamePlayer.OnLinkdeath.Linkdead:			{0} fue linkdead!		
GamePlayer.OnPlayerMove.CannotCallMount:		Te estás moviendo y no puedes llamar a tu montura.			
GamePlayer.OnPlayerMove.InterruptCrafting:		Te mueves e interrumpes tu elaboración.		
GamePlayer.OnSkillTrained.TrainsInVarious:		{0} trenes en diversas especialidades.	
GamePlayer.OnSkillTrained.YouHave:				Usted tiene {0} puntos de especialización abandonados este nivel.	
GamePlayer.OnSkillTrained.YouSpend:				Usted gasta {0} puntos y se especializa más en {1}	
GamePlayer.OpenSelfCraft.AlreadySelfCrafting:	Usted ya está autocrafting.		
GamePlayer.OpenSelfCraft.CanOnlyCraftBackpack:	Sólo puedes auto-craft artículos en tu mochila!		
GamePlayer.PickupObject.Autosplit:				(Autosplit) {0} va a {1}.
GamePlayer.PickupObject.BackpackFull:			Tu mochila está llena. Debe dejar caer algo primero.
GamePlayer.PickupObject.CantGetThat:			¡No puedes conseguir eso!
GamePlayer.PickupObject.GroupMemberPicksUp:		{0} recoge {1}.
GamePlayer.PickupObject.ItemBelowBGThreshold:	Ese ítem está debajo de tu grupo de batalla.
GamePlayer.PickupObject.LootDoesntBelongYou:	Ese botín no le pertenece a usted - no puede recogerlo.
GamePlayer.PickupObject.MustHaveTarget:			¡Debes tener un objetivo para conseguir algo!
GamePlayer.PickupObject.NoOneGroupWantsMoney:	Nadie en grupo quiere el dinero.
GamePlayer.PickupObject.NoOneWantsThis:			Nadie en el grupo quiere el {0}.
GamePlayer.PickupObject.ObjectTooFarAway:		¡El {0} está demasiado lejos para recogerlo!
GamePlayer.PickupObject.TooFarFromBoat:			Estás demasiado lejos del barco a bordo!
GamePlayer.PickupObject.YouGet:					Obtienes {1} piezas {0} y lo pones en tu mochila.
GamePlayer.PickupObject.YouPickUp:				Usted recoge {0}.
GamePlayer.PickupObject.YourLootShare:			Tu parte del botín es {0}.
GamePlayer.Pray.AlreadyPraying:					Ya estás orando!
GamePlayer.Pray.Begin:							Usted comienza sus oraciones!
GamePlayer.Pray.CantPrayNow:					¡No puedes orar ahora!
GamePlayer.Pray.GainBack:						¡Usted ora en su tumba y gana experiencia!	
GamePlayer.Pray.MustGetCloser:				¡Debes acercarte a tu tumba y sentarte a orar!	
GamePlayer.Pray.MustStandingStill:			Debes estar parado para orar.		
GamePlayer.Pray.NeedTarget:					¡Tienes que apuntar una tumba en la que orar!	
GamePlayer.Pray.SelectGrave:				¡Selecciona tu lápida para orar!	
GamePlayer.Pronoun.Female.Objective:		su	
GamePlayer.Pronoun.Female.Possessive:		su		
GamePlayer.Pronoun.Female.Subjective:		ella	
GamePlayer.Pronoun.Male.Objective:			él	
GamePlayer.Pronoun.Male.Possessive:			su	
GamePlayer.Pronoun.Male.Subjective:			él	
	


		
	
GamePlayer.Quit.YouWillQuit1:				Usted saldrá después de estar sentado durante {0} segundos ...
	
GamePlayer.RealmTitle.UnknownRealm:			Reino desconocido
GamePlayer.ReceiveItem.Receive:				¡Recibes {0}!
GamePlayer.ReceiveItem.ReceiveFrom:			¡Recibes {0} de {1}!
GamePlayer.ReceiveTradeItemWhileCrafting.CantTrade: ¡No puedes comerciar a menos que rompas tu acción actual!
GamePlayer.ReceiveTradeItem.CantTrade:			¡Usted no puede negociar este artículo!		
GamePlayer.ReceiveTradeItem.StillSelfcrafting:	Todavía estás autocratizado.		

GamePlayer.Release.ReleaseToPortalKeep: 		Ahora liberará al borde o al portal más cercano en {0} segundos más!
GamePlayer.Release.ReleaseToHouse:				Ahora liberará a su casa en {0} segundos más!
	
	
GamePlayer.SaveIntoDatabase.CharacterSaved:		Su personaje ha sido guardado.
GamePlayer.Say.YouSay:							Usted dice: "{0}"
GamePlayer.SayReceive.Says:						{0} dice, "{1}"
GamePlayer.SayReceive.FalseLanguage:			{0} dice algo en un idioma que no entiendes.

GamePlayer.SendReceive.FalseLanguage:			{0} envía algo en un idioma que no entiende.
GamePlayer.SendReceive.Afk:						{0} es actualmente AFK.
GamePlayer.SendReceive.AfkMessage:				<AFK> {0} envía, "{1}"
GamePlayer.Send.DontUnderstandYou:				¡No parece que te entienda!
GamePlayer.Send.YouSendTo:						Envía "{0}" a {1}.
GamePlayer.SetControlledNpc.ReleaseTarget:		Libera el control de tu objetivo controlado.
GamePlayer.SetControlledNpc.ReleaseTarget2:		Usted pierde el control del {0}.
GamePlayer.Shade.AlreadyShade:				Usted ya es una sombra!	
GamePlayer.Shade.NoLongerShade:				Ya no eres una sombra!
GamePlayer.Sit.AlreadySitting:				Ya estás sentado!	
GamePlayer.Sit.CantSitDead:					¡No puedes sentarte ahora, estás muerto!	
GamePlayer.Sit.CantSitMezzed:				¡No puedes descansar cuando estás hipnotizado!
GamePlayer.Sit.CantSitStunned:				¡No puedes descansar cuando estás aturdido!	
GamePlayer.Sit.InterruptCallMount:			Intenta sentarte e interrumpir tu llamada para tu montura!	
GamePlayer.Sit.MustDismount:				Debes desmontar primero.	
GamePlayer.Sit.MustStandingStill:			Debes estar quieto para sentarte.		
GamePlayer.Sit.NoLongerWaitingQuit:			Usted ya no está esperando para dejar de fumar.		
GamePlayer.Sit.NotSitting:					¡No estás sentado!
GamePlayer.Sit.YouSitDown:					Tú, siéntate. Escriba '/ stand' o mueva para ponerse de pie.	
GamePlayer.Sit.YouStandUp:					Levantate.	
GamePlayer.Spell.NotEnoughPowerful:			No eres lo suficientemente poderoso como para usar el hechizo de este elemento.		
GamePlayer.Spell.NotImplemented:			{0} ({1}) no implementado aún en este servidor.		
GamePlayer.Spell.Proc.NotImplemented:		El ID de efecto reactivo {0} no está implementado todavía en este servidor.	
GamePlayer.Spell.ResurrectionIllness:		Enfermedad de la Resurrección.
GamePlayer.Sprint.CantSprintDead:			¡No puedes correr cuando mueras!	
GamePlayer.Sprint.CantSprintHidden:			¡No puedes correr mientras estás oculto!		
GamePlayer.Sprint.NoLongerReady:			Ya no estás preparado para correr.		
GamePlayer.Sprint.PrepareSprint:			¡Te preparas para correr!	
GamePlayer.Sprint.TooFatigued:				¡Estás demasiado fatigado para correr!

			
		
		
	
	
	
		

			
	
		
		

		
	
GamePlayer.Stealth.NoLongerHidden:				¡Ya no estás oculto!		
GamePlayer.Stealth.NowHidden:					¡Ahora estás oculto!
